time=2016-05-30T22:00:23, team=167, userid=1410, assignmentid=5328 
time=2016-05-31T01:48:26, team=50, userid=1167, assignmentid=5269 
time=2016-05-31T01:48:44, team=128, userid=53, assignmentid=5443 
time=2016-05-31T01:49:16, team=150, userid=363, assignmentid=5018 
time=2016-05-31T01:49:38, team=174, userid=498, assignmentid=5562 
time=2016-05-31T01:54:27, team=17, userid=1719, assignmentid=6110 
time=2016-05-31T01:54:29, team=196, userid=785, assignmentid=6060 
time=2016-05-31T01:58:48, team=28, userid=1641, assignmentid=5666 
time=2016-05-31T02:00:39, team=6, userid=480, assignmentid=5172 
time=2016-05-31T02:03:07, team=62, userid=1470, assignmentid=5604 
time=2016-05-31T02:15:58, team=27, userid=1350, assignmentid=5222 
time=2016-05-31T02:22:12, team=164, userid=359, assignmentid=5029 
time=2016-05-31T02:24:23, team=96, userid=701, assignmentid=5910 
time=2016-05-31T02:30:54, team=29, userid=1638, assignmentid=5129 
time=2016-05-31T02:32:31, team=35, userid=83, assignmentid=5308 
time=2016-05-31T02:35:36, team=163, userid=217, assignmentid=5086 
time=2016-05-31T02:45:46, team=173, userid=1729, assignmentid=5771 
time=2016-05-31T02:46:05, team=84, userid=1666, assignmentid=6097 
time=2016-05-31T02:52:30, team=101, userid=408, assignmentid=5872 
time=2016-05-31T02:57:21, team=174, userid=930, assignmentid=5569 
time=2016-05-31T03:05:07, team=114, userid=1592, assignmentid=5146 
time=2016-05-31T03:05:42, team=182, userid=1737, assignmentid=5525 
time=2016-05-31T03:09:54, team=60, userid=989, assignmentid=6035 
time=2016-05-31T03:11:29, team=35, userid=871, assignmentid=5309 
time=2016-05-31T03:11:59, team=6, userid=355, assignmentid=5173 
time=2016-05-31T03:17:19, team=4, userid=528, assignmentid=5724 
time=2016-05-31T03:21:19, team=31, userid=937, assignmentid=5864 
time=2016-05-31T03:25:14, team=122, userid=347, assignmentid=6188 
time=2016-05-31T03:27:24, team=9, userid=63, assignmentid=5495 
time=2016-05-31T03:35:50, team=49, userid=471, assignmentid=5706 
time=2016-05-31T03:37:00, team=81, userid=423, assignmentid=5986 
time=2016-05-31T03:37:51, team=176, userid=626, assignmentid=5294 
time=2016-05-31T03:38:43, team=10, userid=1782, assignmentid=5548 
time=2016-05-31T03:40:15, team=160, userid=177, assignmentid=6082 
time=2016-05-31T03:41:54, team=131, userid=1268, assignmentid=5064 
time=2016-05-31T03:44:05, team=173, userid=1409, assignmentid=5776 
time=2016-05-31T03:49:57, team=129, userid=1813, assignmentid=5217 
time=2016-05-31T03:52:32, team=129, userid=439, assignmentid=5933 
time=2016-05-31T04:00:17, team=131, userid=1502, assignmentid=5073 
time=2016-05-31T04:00:41, team=160, userid=1769, assignmentid=6081 
time=2016-05-31T04:03:33, team=152, userid=1567, assignmentid=5097 
time=2016-05-31T04:05:33, team=154, userid=1413, assignmentid=5513 
time=2016-05-31T04:05:43, team=162, userid=524, assignmentid=5629 
time=2016-05-31T04:06:16, team=7, userid=1043, assignmentid=5421 
time=2016-05-31T04:11:13, team=189, userid=457, assignmentid=5039 
time=2016-05-31T04:12:20, team=128, userid=287, assignmentid=5451 
time=2016-05-31T04:13:38, team=122, userid=1604, assignmentid=6191 
time=2016-05-31T04:21:20, team=85, userid=977, assignmentid=5139 
time=2016-05-31T04:24:37, team=131, userid=1479, assignmentid=5078 
time=2016-05-31T04:33:29, team=17, userid=1540, assignmentid=6121 
time=2016-05-31T04:34:47, team=10, userid=927, assignmentid=5555 
time=2016-05-31T04:36:37, team=176, userid=87, assignmentid=5281 
time=2016-05-31T04:37:34, team=7, userid=722, assignmentid=5422 
time=2016-05-31T04:42:16, team=94, userid=386, assignmentid=5743 
time=2016-05-31T04:42:22, team=118, userid=1552, assignmentid=5228 
time=2016-05-31T04:51:03, team=114, userid=102, assignmentid=5160 
time=2016-05-31T04:52:00, team=174, userid=1154, assignmentid=5563 
time=2016-05-31T04:54:17, team=180, userid=1933, assignmentid=5811 
time=2016-05-31T04:59:45, team=48, userid=229, assignmentid=5353 
time=2016-05-31T05:06:44, team=34, userid=161, assignmentid=6167 
time=2016-05-31T05:12:11, team=185, userid=774, assignmentid=5059 
time=2016-05-31T05:12:22, team=176, userid=1214, assignmentid=5116 
time=2016-05-31T05:19:07, team=77, userid=9, assignmentid=5677 
time=2016-05-31T05:21:50, team=122, userid=1030, assignmentid=6185 
time=2016-05-31T05:22:51, team=94, userid=1261, assignmentid=5752 
time=2016-05-31T05:24:50, team=73, userid=773, assignmentid=5382 
time=2016-05-31T05:26:32, team=105, userid=915, assignmentid=5363 
time=2016-05-31T05:31:35, team=128, userid=1330, assignmentid=5331 
time=2016-05-31T05:31:42, team=122, userid=506, assignmentid=6176 
time=2016-05-31T05:34:22, team=156, userid=661, assignmentid=5900 
time=2016-05-31T05:35:46, team=96, userid=533, assignmentid=5913 
time=2016-05-31T05:36:41, team=160, userid=1614, assignmentid=6077 
time=2016-05-31T05:38:17, team=62, userid=1873, assignmentid=5618 
time=2016-05-31T05:51:12, team=89, userid=256, assignmentid=5829 
time=2016-05-31T05:52:46, team=121, userid=788, assignmentid=6106 
time=2016-05-31T05:54:47, team=161, userid=611, assignmentid=5477 
time=2016-05-31T05:57:55, team=35, userid=1223, assignmentid=5306 
time=2016-05-31T05:58:17, team=99, userid=1052, assignmentid=5175 
time=2016-05-31T06:11:55, team=99, userid=677, assignmentid=5183 
time=2016-05-31T06:16:50, team=114, userid=1608, assignmentid=5699 
time=2016-05-31T06:18:20, team=84, userid=1408, assignmentid=6089 
time=2016-05-31T06:18:27, team=9, userid=1937, assignmentid=5506 
time=2016-05-31T06:27:12, team=99, userid=1334, assignmentid=5176 
time=2016-05-31T06:30:22, team=107, userid=675, assignmentid=5023 
time=2016-05-31T06:30:56, team=196, userid=1771, assignmentid=6057 
time=2016-05-31T06:32:28, team=31, userid=1599, assignmentid=5866 
time=2016-05-31T06:34:00, team=57, userid=22, assignmentid=6068 
time=2016-05-31T06:34:58, team=162, userid=276, assignmentid=5635 
time=2016-05-31T06:39:43, team=189, userid=259, assignmentid=5046 
time=2016-05-31T06:41:03, team=28, userid=1761, assignmentid=5660 
time=2016-05-31T06:41:16, team=114, userid=1975, assignmentid=5148 
time=2016-05-31T06:45:27, team=55, userid=1057, assignmentid=5886 
time=2016-05-31T06:52:54, team=28, userid=105, assignmentid=5657 
time=2016-05-31T06:55:10, team=57, userid=1944, assignmentid=6066 
time=2016-05-31T07:01:26, team=94, userid=1872, assignmentid=5741 
time=2016-05-31T07:01:40, team=28, userid=1701, assignmentid=5664 
time=2016-05-31T07:06:50, team=71, userid=1491, assignmentid=5842 
time=2016-05-31T07:14:16, team=94, userid=31, assignmentid=5518 
time=2016-05-31T07:22:45, team=181, userid=1189, assignmentid=5971 
time=2016-05-31T07:23:26, team=128, userid=40, assignmentid=5450 
time=2016-05-31T07:26:10, team=185, userid=582, assignmentid=5058 
time=2016-05-31T07:27:28, team=17, userid=404, assignmentid=6122 
time=2016-05-31T07:30:46, team=114, userid=944, assignmentid=5686 
time=2016-05-31T07:33:56, team=99, userid=855, assignmentid=5538 
time=2016-05-31T07:39:18, team=118, userid=642, assignmentid=5232 
time=2016-05-31T07:40:40, team=129, userid=17, assignmentid=5932 
time=2016-05-31T07:42:01, team=9, userid=98, assignmentid=5504 
time=2016-05-31T07:50:53, team=181, userid=1968, assignmentid=5970 
time=2016-05-31T07:59:31, team=118, userid=592, assignmentid=5242 
time=2016-05-31T08:03:21, team=35, userid=1955, assignmentid=5300 
time=2016-05-31T08:07:13, team=92, userid=562, assignmentid=5917 
time=2016-05-31T08:09:13, team=40, userid=232, assignmentid=5645 
time=2016-05-31T08:10:43, team=129, userid=1384, assignmentid=5937 
time=2016-05-31T08:10:59, team=180, userid=1675, assignmentid=5809 
time=2016-05-31T08:12:40, team=162, userid=1000, assignmentid=5638 
time=2016-05-31T08:13:38, team=150, userid=1414, assignmentid=5015 
time=2016-05-31T08:13:50, team=189, userid=901, assignmentid=5041 
time=2016-05-31T08:21:42, team=81, userid=664, assignmentid=5981 
time=2016-05-31T08:23:18, team=89, userid=260, assignmentid=5823 
time=2016-05-31T08:27:13, team=114, userid=1862, assignmentid=5698 
time=2016-05-31T08:30:46, team=73, userid=736, assignmentid=5395 
time=2016-05-31T08:41:14, team=107, userid=925, assignmentid=5026 
time=2016-05-31T08:41:43, team=167, userid=896, assignmentid=5317 
time=2016-05-31T08:47:34, team=118, userid=1800, assignmentid=5236 
time=2016-05-31T08:48:56, team=89, userid=1951, assignmentid=5812 
time=2016-05-31T08:57:11, team=185, userid=599, assignmentid=5056 
time=2016-05-31T09:00:14, team=71, userid=1139, assignmentid=5844 
time=2016-05-31T09:01:21, team=88, userid=917, assignmentid=5718 
time=2016-05-31T09:06:21, team=162, userid=659, assignmentid=5636 
time=2016-05-31T09:08:37, team=109, userid=561, assignmentid=6041 
time=2016-05-31T09:16:18, team=144, userid=1509, assignmentid=5001 
time=2016-05-31T09:18:07, team=177, userid=1964, assignmentid=6141 
time=2016-05-31T09:19:05, team=109, userid=1322, assignmentid=6048 
time=2016-05-31T09:26:58, team=35, userid=1366, assignmentid=5310 
time=2016-05-31T09:28:33, team=34, userid=754, assignmentid=5351 
time=2016-05-31T09:28:42, team=17, userid=950, assignmentid=6111 
time=2016-05-31T09:42:38, team=89, userid=1579, assignmentid=6007 
time=2016-05-31T09:43:10, team=167, userid=1773, assignmentid=5323 
time=2016-05-31T09:43:45, team=180, userid=41, assignmentid=5810 
time=2016-05-31T09:45:43, team=94, userid=309, assignmentid=5746 
time=2016-05-31T09:52:17, team=49, userid=1888, assignmentid=5712 
time=2016-05-31T09:54:30, team=192, userid=163, assignmentid=6135 
time=2016-05-31T09:57:09, team=164, userid=1520, assignmentid=5030 
time=2016-05-31T09:59:17, team=176, userid=797, assignmentid=5292 
time=2016-05-31T10:03:13, team=70, userid=299, assignmentid=5588 
time=2016-05-31T10:04:40, team=94, userid=205, assignmentid=5740 
time=2016-05-31T10:06:41, team=161, userid=1061, assignmentid=5479 
time=2016-05-31T10:10:48, team=35, userid=1001, assignmentid=5302 
time=2016-05-31T10:16:17, team=71, userid=1286, assignmentid=5833 
time=2016-05-31T10:19:06, team=176, userid=475, assignmentid=5298 
time=2016-05-31T10:19:46, team=128, userid=1403, assignmentid=5456 
time=2016-05-31T10:23:18, team=186, userid=341, assignmentid=5437 
time=2016-05-31T10:32:50, team=54, userid=1450, assignmentid=5592 
time=2016-05-31T10:36:26, team=162, userid=1300, assignmentid=5634 
time=2016-05-31T10:49:46, team=109, userid=1649, assignmentid=6045 
time=2016-05-31T10:51:39, team=196, userid=1932, assignmentid=5215 
time=2016-05-31T10:54:08, team=173, userid=1253, assignmentid=5786 
time=2016-05-31T10:55:49, team=85, userid=1778, assignmentid=5137 
time=2016-05-31T10:57:38, team=48, userid=554, assignmentid=5352 
time=2016-05-31T11:01:52, team=160, userid=1988, assignmentid=6079 
time=2016-05-31T11:05:07, team=99, userid=799, assignmentid=5186 
time=2016-05-31T11:06:41, team=60, userid=1925, assignmentid=6034 
time=2016-05-31T11:09:24, team=173, userid=1528, assignmentid=5787 
time=2016-05-31T11:21:14, team=196, userid=992, assignmentid=5209 
time=2016-05-31T11:23:58, team=133, userid=219, assignmentid=5224 
time=2016-05-31T11:25:12, team=109, userid=1024, assignmentid=6050 
time=2016-05-31T11:26:47, team=196, userid=1307, assignmentid=6062 
time=2016-05-31T11:29:12, team=55, userid=1518, assignmentid=5062 
time=2016-05-31T11:32:10, team=84, userid=455, assignmentid=6090 
time=2016-05-31T11:34:00, team=34, userid=529, assignmentid=6165 
time=2016-05-31T11:40:52, team=118, userid=1758, assignmentid=5227 
time=2016-05-31T11:45:11, team=89, userid=1908, assignmentid=6000 
time=2016-05-31T11:46:29, team=105, userid=1411, assignmentid=5361 
time=2016-05-31T11:52:08, team=94, userid=1895, assignmentid=5519 
time=2016-05-31T11:58:28, team=150, userid=1085, assignmentid=5014 
time=2016-05-31T11:58:59, team=114, userid=693, assignmentid=5700 
time=2016-05-31T12:06:25, team=147, userid=1466, assignmentid=5165 
time=2016-05-31T12:07:57, team=40, userid=995, assignmentid=5654 
time=2016-05-31T12:14:03, team=177, userid=555, assignmentid=5940 
time=2016-05-31T12:17:09, team=40, userid=1282, assignmentid=5640 
time=2016-05-31T12:18:25, team=17, userid=914, assignmentid=6116 
time=2016-05-31T12:19:30, team=96, userid=1548, assignmentid=5914 
time=2016-05-31T12:22:32, team=101, userid=1738, assignmentid=5876 
time=2016-05-31T12:23:41, team=139, userid=449, assignmentid=5131 
time=2016-05-31T12:31:12, team=144, userid=1986, assignmentid=5007 
time=2016-05-31T12:31:21, team=144, userid=791, assignmentid=5372 
time=2016-05-31T12:33:04, team=114, userid=1064, assignmentid=5693 
time=2016-05-31T12:42:16, team=71, userid=656, assignmentid=5841 
time=2016-05-31T12:45:13, team=69, userid=881, assignmentid=6197 
time=2016-05-31T12:45:53, team=42, userid=1889, assignmentid=5756 
time=2016-05-31T12:49:43, team=131, userid=1594, assignmentid=5063 
time=2016-05-31T12:54:51, team=40, userid=93, assignmentid=5649 
time=2016-05-31T12:56:05, team=144, userid=1235, assignmentid=5003 
time=2016-05-31T13:04:37, team=92, userid=1563, assignmentid=5801 
time=2016-05-31T13:10:59, team=4, userid=1915, assignmentid=5726 
time=2016-05-31T13:14:21, team=182, userid=543, assignmentid=5527 
time=2016-05-31T13:30:51, team=45, userid=1804, assignmentid=6024 
time=2016-05-31T13:34:14, team=128, userid=867, assignmentid=5454 
time=2016-05-31T13:34:43, team=173, userid=1054, assignmentid=5775 
time=2016-05-31T13:35:09, team=154, userid=1774, assignmentid=5512 
time=2016-05-31T13:37:16, team=94, userid=752, assignmentid=5747 
time=2016-05-31T13:49:33, team=99, userid=76, assignmentid=5397 
time=2016-05-31T13:54:39, team=160, userid=1053, assignmentid=6073 
time=2016-05-31T13:55:02, team=173, userid=196, assignmentid=5789 
time=2016-05-31T13:56:15, team=163, userid=530, assignmentid=5090 
time=2016-05-31T14:05:12, team=56, userid=89, assignmentid=5277 
time=2016-05-31T14:05:12, team=73, userid=1295, assignmentid=5385 
time=2016-05-31T14:06:57, team=107, userid=1363, assignmentid=5025 
time=2016-05-31T14:08:14, team=17, userid=1663, assignmentid=5167 
time=2016-05-31T14:10:12, team=173, userid=811, assignmentid=5794 
time=2016-05-31T14:21:09, team=48, userid=368, assignmentid=5360 
time=2016-05-31T14:22:23, team=121, userid=1005, assignmentid=6103 
time=2016-05-31T14:23:24, team=7, userid=869, assignmentid=5426 
time=2016-05-31T14:24:16, team=28, userid=1644, assignmentid=5667 
time=2016-05-31T14:28:37, team=7, userid=1954, assignmentid=5430 
time=2016-05-31T14:30:33, team=3, userid=1587, assignmentid=5862 
time=2016-05-31T14:31:36, team=185, userid=597, assignmentid=5060 
time=2016-05-31T14:33:41, team=31, userid=1871, assignmentid=5863 
time=2016-05-31T14:35:37, team=7, userid=1094, assignmentid=5429 
time=2016-05-31T14:37:24, team=92, userid=1200, assignmentid=5923 
time=2016-05-31T14:38:10, team=174, userid=458, assignmentid=5570 
time=2016-05-31T14:39:41, team=179, userid=539, assignmentid=5249 
time=2016-05-31T14:42:42, team=99, userid=1151, assignmentid=5534 
time=2016-05-31T14:53:15, team=10, userid=938, assignmentid=5556 
time=2016-05-31T14:58:40, team=89, userid=1194, assignmentid=5827 
time=2016-05-31T14:59:31, team=63, userid=1508, assignmentid=5198 
time=2016-05-31T15:02:25, team=173, userid=104, assignmentid=5774 
time=2016-05-31T15:03:35, team=114, userid=1155, assignmentid=5695 
time=2016-05-31T15:04:08, team=101, userid=350, assignmentid=5870 
time=2016-05-31T15:05:51, team=4, userid=1390, assignmentid=5736 
time=2016-05-31T15:15:23, team=192, userid=1995, assignmentid=6128 
time=2016-05-31T15:22:16, team=34, userid=1032, assignmentid=6163 
time=2016-05-31T15:23:32, team=118, userid=880, assignmentid=5234 
time=2016-05-31T15:33:32, team=150, userid=969, assignmentid=5016 
time=2016-05-31T15:41:40, team=4, userid=448, assignmentid=5734 
time=2016-05-31T15:43:09, team=84, userid=652, assignmentid=6088 
time=2016-05-31T15:43:55, team=84, userid=1191, assignmentid=5951 
time=2016-05-31T15:46:13, team=185, userid=49, assignmentid=5055 
time=2016-05-31T15:54:51, team=17, userid=578, assignmentid=6112 
time=2016-05-31T15:57:06, team=81, userid=212, assignmentid=5991 
time=2016-05-31T15:59:57, team=161, userid=447, assignmentid=5474 
time=2016-05-31T16:05:40, team=27, userid=139, assignmentid=5223 
time=2016-05-31T16:08:19, team=55, userid=939, assignmentid=5890 
time=2016-05-31T16:12:38, team=152, userid=207, assignmentid=5109 
time=2016-05-31T16:13:08, team=84, userid=827, assignmentid=6091 
time=2016-05-31T16:27:04, team=17, userid=633, assignmentid=5168 
time=2016-05-31T16:35:40, team=182, userid=1228, assignmentid=5521 
time=2016-05-31T16:38:40, team=173, userid=1894, assignmentid=5784 
time=2016-05-31T16:40:06, team=189, userid=1687, assignmentid=5038 
time=2016-05-31T16:41:45, team=152, userid=541, assignmentid=5106 
time=2016-05-31T16:42:53, team=174, userid=984, assignmentid=5564 
time=2016-05-31T16:43:05, team=40, userid=558, assignmentid=5641 
time=2016-05-31T16:49:13, team=131, userid=375, assignmentid=5066 
time=2016-05-31T16:49:16, team=192, userid=1056, assignmentid=6125 
time=2016-05-31T16:51:03, team=54, userid=1825, assignmentid=5601 
time=2016-05-31T16:52:13, team=152, userid=460, assignmentid=5104 
time=2016-05-31T16:53:06, team=50, userid=843, assignmentid=5270 
time=2016-05-31T16:57:33, team=128, userid=807, assignmentid=5447 
time=2016-05-31T17:02:24, team=161, userid=30, assignmentid=5481 
time=2016-05-31T17:04:30, team=73, userid=812, assignmentid=5388 
time=2016-05-31T17:15:25, team=62, userid=264, assignmentid=5605 
time=2016-05-31T17:15:35, team=121, userid=1707, assignmentid=6108 
time=2016-05-31T17:15:55, team=84, userid=1017, assignmentid=6086 
time=2016-05-31T17:17:47, team=167, userid=204, assignmentid=5327 
time=2016-05-31T17:18:03, team=167, userid=1111, assignmentid=5322 
time=2016-05-31T17:26:53, team=57, userid=1018, assignmentid=5808 
time=2016-05-31T17:28:03, team=144, userid=1328, assignmentid=5002 
time=2016-05-31T17:28:21, team=161, userid=1456, assignmentid=5485 
time=2016-05-31T17:32:58, team=177, userid=1449, assignmentid=6139 
time=2016-05-31T17:49:04, team=144, userid=556, assignmentid=5374 
time=2016-05-31T17:54:41, team=109, userid=1556, assignmentid=6044 
time=2016-05-31T18:02:13, team=162, userid=1967, assignmentid=5632 
time=2016-05-31T18:02:51, team=49, userid=187, assignmentid=5715 
time=2016-05-31T18:05:01, team=81, userid=294, assignmentid=5978 
time=2016-05-31T18:08:38, team=84, userid=1823, assignmentid=6087 
time=2016-05-31T18:13:19, team=196, userid=1020, assignmentid=5212 
time=2016-05-31T18:20:23, team=114, userid=82, assignmentid=5687 
time=2016-05-31T18:23:14, team=96, userid=902, assignmentid=5912 
time=2016-05-31T18:30:04, team=183, userid=1244, assignmentid=6175 
time=2016-05-31T18:31:19, team=154, userid=1909, assignmentid=5514 
time=2016-05-31T18:40:16, team=122, userid=1442, assignmentid=6180 
time=2016-05-31T18:40:56, team=183, userid=1065, assignmentid=6170 
time=2016-05-31T18:52:54, team=54, userid=303, assignmentid=5595 
time=2016-05-31T18:54:32, team=34, userid=1041, assignmentid=6161 
time=2016-05-31T19:01:58, team=60, userid=1981, assignmentid=6032 
time=2016-05-31T19:03:11, team=161, userid=1357, assignmentid=5491 
time=2016-05-31T19:04:55, team=139, userid=1596, assignmentid=5466 
time=2016-05-31T19:14:36, team=3, userid=810, assignmentid=5856 
time=2016-05-31T19:16:49, team=114, userid=1942, assignmentid=5157 
time=2016-05-31T19:17:31, team=150, userid=339, assignmentid=5110 
time=2016-05-31T19:18:04, team=144, userid=393, assignmentid=5000 
time=2016-05-31T19:19:47, team=96, userid=231, assignmentid=5906 
time=2016-05-31T19:28:59, team=122, userid=1784, assignmentid=6193 
time=2016-05-31T19:29:52, team=34, userid=1090, assignmentid=5344 
time=2016-05-31T19:52:12, team=42, userid=108, assignmentid=5763 
time=2016-05-31T19:53:15, team=69, userid=1860, assignmentid=5916 
time=2016-05-31T19:55:02, team=174, userid=550, assignmentid=5567 
time=2016-05-31T20:00:00, team=114, userid=1849, assignmentid=5529 
time=2016-05-31T20:02:05, team=71, userid=1483, assignmentid=5837 
time=2016-05-31T20:02:59, team=109, userid=1616, assignmentid=6049 
time=2016-05-31T20:03:33, team=176, userid=1148, assignmentid=5297 
time=2016-05-31T20:04:14, team=192, userid=1249, assignmentid=6132 
time=2016-05-31T20:09:08, team=84, userid=301, assignmentid=6101 
time=2016-05-31T20:11:23, team=7, userid=1130, assignmentid=5434 
time=2016-05-31T20:12:05, team=29, userid=1484, assignmentid=5125 
time=2016-05-31T20:15:22, team=163, userid=1947, assignmentid=5080 
time=2016-05-31T20:15:27, team=17, userid=1892, assignmentid=6114 
time=2016-05-31T20:23:03, team=70, userid=336, assignmentid=5574 
time=2016-05-31T20:24:26, team=196, userid=1572, assignmentid=6059 
time=2016-05-31T20:26:58, team=54, userid=623, assignmentid=5593 
time=2016-05-31T20:33:07, team=131, userid=1911, assignmentid=5065 
time=2016-05-31T20:41:56, team=55, userid=1554, assignmentid=5884 
time=2016-05-31T20:45:22, team=63, userid=400, assignmentid=5189 
time=2016-05-31T20:46:36, team=101, userid=1545, assignmentid=5877 
time=2016-05-31T20:48:11, team=89, userid=1757, assignmentid=6002 
time=2016-05-31T20:53:46, team=27, userid=766, assignmentid=5220 
time=2016-05-31T20:57:15, team=70, userid=574, assignmentid=5575 
time=2016-05-31T21:13:18, team=181, userid=1320, assignmentid=5966 
time=2016-05-31T21:19:05, team=89, userid=345, assignmentid=5824 
time=2016-05-31T21:20:16, team=84, userid=976, assignmentid=5944 
time=2016-05-31T21:24:19, team=122, userid=36, assignmentid=5135 
time=2016-05-31T21:30:52, team=129, userid=1610, assignmentid=5930 
time=2016-05-31T21:32:46, team=173, userid=738, assignmentid=5779 
time=2016-05-31T21:33:23, team=9, userid=1684, assignmentid=5508 
time=2016-05-31T21:35:28, team=63, userid=1827, assignmentid=6150 
time=2016-05-31T21:35:37, team=62, userid=1091, assignmentid=5615 
