time=2016-06-06T23:33:05, eventid=0, teamid=3, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=111, teamid=129, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=112, teamid=131, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=113, teamid=131, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=114, teamid=133, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=115, teamid=133, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=116, teamid=139, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=117, teamid=139, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=118, teamid=144, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=119, teamid=144, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=120, teamid=147, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=121, teamid=147, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=122, teamid=148, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=123, teamid=148, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=124, teamid=150, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=125, teamid=150, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=126, teamid=152, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=127, teamid=152, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=128, teamid=154, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=129, teamid=154, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=130, teamid=156, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=131, teamid=156, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=132, teamid=160, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=133, teamid=160, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=134, teamid=161, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=135, teamid=161, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=136, teamid=162, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=137, teamid=162, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=138, teamid=163, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=139, teamid=163, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=140, teamid=164, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=141, teamid=164, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=142, teamid=167, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=143, teamid=167, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=144, teamid=173, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=145, teamid=173, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=146, teamid=174, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=147, teamid=174, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=148, teamid=176, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=149, teamid=176, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=150, teamid=177, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=151, teamid=177, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=152, teamid=179, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=153, teamid=179, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=154, teamid=180, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=155, teamid=180, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=156, teamid=181, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=157, teamid=181, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=158, teamid=182, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=159, teamid=182, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=160, teamid=183, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=161, teamid=183, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=162, teamid=185, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=163, teamid=185, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=164, teamid=186, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=165, teamid=186, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=166, teamid=189, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=167, teamid=189, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=168, teamid=192, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=169, teamid=192, level=2, eventType=start
time=2016-06-06T23:33:05, eventid=170, teamid=196, level=1, eventType=end
time=2016-06-06T23:33:05, eventid=171, teamid=196, level=2, eventType=start
time=2016-06-07T19:03:05, eventid=172, teamid=37, level=1, eventType=end
time=2016-06-07T19:03:05, eventid=173, teamid=37, level=2, eventType=start
time=2016-06-08T13:03:05, eventid=174, teamid=201, level=1, eventType=end
time=2016-06-08T13:03:05, eventid=175, teamid=201, level=2, eventType=start
time=2016-06-08T16:03:05, eventid=176, teamid=3, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=177, teamid=3, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=178, teamid=4, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=179, teamid=4, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=180, teamid=6, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=181, teamid=6, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=182, teamid=7, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=183, teamid=7, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=184, teamid=9, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=185, teamid=9, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=186, teamid=10, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=187, teamid=10, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=188, teamid=17, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=189, teamid=17, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=190, teamid=20, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=191, teamid=20, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=192, teamid=27, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=193, teamid=27, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=194, teamid=28, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=195, teamid=28, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=196, teamid=29, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=197, teamid=29, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=198, teamid=31, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=199, teamid=31, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=200, teamid=34, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=201, teamid=34, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=202, teamid=35, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=203, teamid=35, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=204, teamid=40, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=205, teamid=40, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=206, teamid=42, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=207, teamid=42, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=208, teamid=44, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=209, teamid=44, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=210, teamid=45, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=211, teamid=45, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=212, teamid=46, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=213, teamid=46, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=214, teamid=48, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=215, teamid=48, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=216, teamid=49, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=217, teamid=49, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=218, teamid=50, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=219, teamid=50, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=220, teamid=54, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=221, teamid=54, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=222, teamid=55, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=223, teamid=55, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=224, teamid=56, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=225, teamid=56, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=226, teamid=57, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=227, teamid=57, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=228, teamid=60, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=229, teamid=60, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=230, teamid=62, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=231, teamid=62, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=232, teamid=63, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=233, teamid=63, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=234, teamid=69, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=235, teamid=69, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=236, teamid=70, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=237, teamid=70, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=238, teamid=71, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=239, teamid=71, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=240, teamid=73, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=241, teamid=73, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=242, teamid=77, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=243, teamid=77, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=244, teamid=81, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=245, teamid=81, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=246, teamid=84, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=247, teamid=84, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=248, teamid=85, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=249, teamid=85, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=250, teamid=88, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=251, teamid=88, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=252, teamid=89, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=253, teamid=89, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=254, teamid=92, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=255, teamid=92, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=256, teamid=94, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=257, teamid=94, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=258, teamid=96, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=259, teamid=96, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=260, teamid=99, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=261, teamid=99, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=262, teamid=101, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=263, teamid=101, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=264, teamid=105, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=265, teamid=105, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=266, teamid=106, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=267, teamid=106, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=268, teamid=107, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=269, teamid=107, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=270, teamid=109, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=271, teamid=109, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=272, teamid=114, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=273, teamid=114, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=274, teamid=115, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=275, teamid=115, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=276, teamid=118, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=277, teamid=118, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=278, teamid=119, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=279, teamid=119, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=280, teamid=121, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=281, teamid=121, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=282, teamid=122, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=283, teamid=122, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=284, teamid=128, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=285, teamid=128, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=286, teamid=129, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=287, teamid=129, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=288, teamid=131, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=289, teamid=131, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=290, teamid=133, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=291, teamid=133, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=292, teamid=139, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=293, teamid=139, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=294, teamid=144, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=295, teamid=144, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=296, teamid=147, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=297, teamid=147, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=298, teamid=148, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=299, teamid=148, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=300, teamid=150, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=301, teamid=150, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=302, teamid=152, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=303, teamid=152, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=304, teamid=154, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=305, teamid=154, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=306, teamid=156, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=307, teamid=156, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=308, teamid=160, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=309, teamid=160, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=310, teamid=161, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=311, teamid=161, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=312, teamid=162, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=313, teamid=162, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=314, teamid=163, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=315, teamid=163, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=316, teamid=164, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=317, teamid=164, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=318, teamid=167, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=319, teamid=167, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=320, teamid=173, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=321, teamid=173, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=322, teamid=174, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=323, teamid=174, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=324, teamid=176, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=325, teamid=176, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=326, teamid=177, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=327, teamid=177, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=328, teamid=179, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=329, teamid=179, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=330, teamid=180, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=331, teamid=180, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=332, teamid=181, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=333, teamid=181, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=334, teamid=182, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=335, teamid=182, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=336, teamid=183, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=337, teamid=183, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=338, teamid=185, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=339, teamid=185, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=340, teamid=186, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=341, teamid=186, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=342, teamid=189, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=343, teamid=189, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=344, teamid=192, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=345, teamid=192, level=3, eventType=start
time=2016-06-08T16:03:05, eventid=346, teamid=196, level=2, eventType=end
time=2016-06-08T16:03:05, eventid=347, teamid=196, level=3, eventType=start
time=2016-06-09T08:33:05, eventid=348, teamid=206, level=1, eventType=end
time=2016-06-09T08:33:05, eventid=349, teamid=206, level=2, eventType=start
time=2016-06-09T11:33:05, eventid=350, teamid=37, level=2, eventType=end
time=2016-06-09T11:33:05, eventid=351, teamid=37, level=3, eventType=start
time=2016-06-09T16:03:05, eventid=352, teamid=204, level=1, eventType=end
time=2016-06-09T16:03:05, eventid=353, teamid=204, level=2, eventType=start
time=2016-06-09T22:33:05, eventid=354, teamid=205, level=1, eventType=end
time=2016-06-09T22:33:05, eventid=355, teamid=205, level=2, eventType=start
time=2016-06-10T05:33:05, eventid=356, teamid=201, level=2, eventType=end
time=2016-06-10T05:33:05, eventid=357, teamid=201, level=3, eventType=start
time=2016-06-10T11:03:05, eventid=358, teamid=203, level=1, eventType=end
time=2016-06-10T11:03:05, eventid=359, teamid=203, level=2, eventType=start
time=2016-06-10T14:33:05, eventid=360, teamid=202, level=1, eventType=end
time=2016-06-10T14:33:05, eventid=361, teamid=202, level=2, eventType=start
time=2016-06-10T18:03:05, eventid=362, teamid=3, level=3, eventType=end
time=2016-06-10T18:03:05, eventid=363, teamid=3, level=4, eventType=start
time=2016-06-10T18:03:05, eventid=364, teamid=4, level=3, eventType=end
time=2016-06-10T18:03:05, eventid=365, teamid=4, level=4, eventType=start
time=2016-06-10T18:03:05, eventid=366, teamid=6, level=3, eventType=end
time=2016-06-10T18:03:05, eventid=367, teamid=6, level=4, eventType=start
time=2016-06-10T18:03:05, eventid=368, teamid=7, level=3, eventType=end
time=2016-06-10T18:03:05, eventid=369, teamid=7, level=4, eventType=start
time=2016-06-10T18:03:05, eventid=370, teamid=9, level=3, eventType=end
time=2016-06-10T18:03:05, eventid=371, teamid=9, level=4, eventType=start
time=2016-06-10T18:03:05, eventid=372, teamid=10, level=3, eventType=end
time=2016-06-10T18:03:05, eventid=373, teamid=10, level=4, eventType=start
time=2016-06-10T18:03:05, eventid=374, teamid=17, level=3, eventType=end
time=2016-06-10T18:03:05, eventid=375, teamid=17, level=4, eventType=start
time=2016-06-10T18:03:05, eventid=376, teamid=20, level=3, eventType=end
