2016-06-05T15:38:13, txID=6798, userSessionid=6452, teamid=77, userid=1451, adID=2, adCategory=sports
2016-06-05T17:37:19, txID=6902, userSessionid=6203, teamid=109, userid=1069, adID=4, adCategory=clothing
2016-06-05T17:37:39, txID=6901, userSessionid=6787, teamid=174, userid=614, adID=23, adCategory=sports
2016-06-05T17:38:03, txID=6907, userSessionid=6479, teamid=99, userid=267, adID=6, adCategory=clothing
2016-06-05T17:43:24, txID=6900, userSessionid=6543, teamid=99, userid=1052, adID=17, adCategory=movies
2016-06-05T17:47:42, txID=6905, userSessionid=6384, teamid=70, userid=571, adID=6, adCategory=clothing
2016-06-05T17:54:43, txID=6904, userSessionid=6406, teamid=164, userid=1822, adID=14, adCategory=fashion
2016-06-05T17:56:12, txID=6903, userSessionid=6306, teamid=156, userid=872, adID=14, adCategory=fashion
2016-06-05T18:01:17, txID=6909, userSessionid=6354, teamid=150, userid=1085, adID=19, adCategory=sports
2016-06-05T18:03:16, txID=6927, userSessionid=6556, teamid=176, userid=1637, adID=25, adCategory=sports
2016-06-05T18:03:23, txID=6926, userSessionid=6771, teamid=57, userid=22, adID=3, adCategory=computers
2016-06-05T18:06:13, txID=6937, userSessionid=6548, teamid=28, userid=1385, adID=16, adCategory=clothing
2016-06-05T18:07:02, txID=6935, userSessionid=6761, teamid=89, userid=513, adID=17, adCategory=movies
2016-06-05T18:08:02, txID=6932, userSessionid=6318, teamid=109, userid=602, adID=11, adCategory=clothing
2016-06-05T18:08:50, txID=6924, userSessionid=6595, teamid=185, userid=1123, adID=26, adCategory=sports
2016-06-05T18:10:08, txID=6923, userSessionid=6570, teamid=106, userid=128, adID=21, adCategory=movies
2016-06-05T18:10:40, txID=6938, userSessionid=6771, teamid=57, userid=22, adID=0, adCategory=hardware
2016-06-05T18:16:50, txID=6936, userSessionid=6593, teamid=185, userid=761, adID=11, adCategory=clothing
2016-06-05T18:16:56, txID=6929, userSessionid=6486, teamid=173, userid=625, adID=5, adCategory=movies
2016-06-05T18:17:16, txID=6928, userSessionid=6618, teamid=28, userid=1534, adID=9, adCategory=movies
2016-06-05T18:17:32, txID=6925, userSessionid=6648, teamid=129, userid=113, adID=13, adCategory=hardware
2016-06-05T18:19:10, txID=6930, userSessionid=6456, teamid=49, userid=436, adID=21, adCategory=movies
2016-06-05T18:21:26, txID=6933, userSessionid=6618, teamid=28, userid=1534, adID=26, adCategory=sports
2016-06-05T18:26:04, txID=6931, userSessionid=6475, teamid=185, userid=1732, adID=7, adCategory=hardware
2016-06-05T18:26:30, txID=6934, userSessionid=6704, teamid=6, userid=355, adID=8, adCategory=clothing
2016-06-05T18:28:28, txID=6939, userSessionid=6589, teamid=128, userid=1224, adID=20, adCategory=sports
2016-06-05T18:28:38, txID=6940, userSessionid=6296, teamid=77, userid=431, adID=21, adCategory=movies
2016-06-05T18:33:54, txID=6964, userSessionid=6508, teamid=84, userid=1017, adID=15, adCategory=fashion
2016-06-05T18:34:30, txID=6953, userSessionid=6352, teamid=150, userid=1089, adID=0, adCategory=hardware
2016-06-05T18:35:05, txID=6955, userSessionid=6573, teamid=114, userid=678, adID=4, adCategory=clothing
2016-06-05T18:35:52, txID=6954, userSessionid=6374, teamid=174, userid=984, adID=17, adCategory=movies
2016-06-05T18:36:32, txID=6958, userSessionid=6758, teamid=40, userid=1674, adID=28, adCategory=sports
2016-06-05T18:38:06, txID=6967, userSessionid=6471, teamid=4, userid=918, adID=4, adCategory=clothing
2016-06-05T18:39:17, txID=6959, userSessionid=6355, teamid=92, userid=326, adID=15, adCategory=fashion
2016-06-05T18:39:56, txID=6952, userSessionid=6279, teamid=57, userid=1944, adID=12, adCategory=games
2016-06-05T18:42:14, txID=6956, userSessionid=6470, teamid=174, userid=1568, adID=6, adCategory=clothing
2016-06-05T18:42:16, txID=6965, userSessionid=6224, teamid=81, userid=973, adID=26, adCategory=sports
2016-06-05T18:44:33, txID=6963, userSessionid=6632, teamid=131, userid=1934, adID=19, adCategory=sports
2016-06-05T18:47:46, txID=6962, userSessionid=6354, teamid=150, userid=1085, adID=8, adCategory=clothing
2016-06-05T18:48:08, txID=6957, userSessionid=6653, teamid=161, userid=424, adID=24, adCategory=computers
2016-06-05T18:49:20, txID=6960, userSessionid=6446, teamid=101, userid=1878, adID=11, adCategory=clothing
2016-06-05T18:53:20, txID=6966, userSessionid=6265, teamid=9, userid=317, adID=7, adCategory=hardware
2016-06-05T19:01:46, txID=6961, userSessionid=6741, teamid=85, userid=1886, adID=10, adCategory=movies
2016-06-05T19:03:52, txID=6983, userSessionid=6621, teamid=109, userid=1024, adID=10, adCategory=movies
2016-06-05T19:05:30, txID=6982, userSessionid=6429, teamid=161, userid=1357, adID=3, adCategory=computers
2016-06-05T19:14:00, txID=6984, userSessionid=6435, teamid=99, userid=923, adID=8, adCategory=clothing
2016-06-05T19:38:02, txID=7002, userSessionid=6571, teamid=129, userid=1003, adID=13, adCategory=hardware
2016-06-05T19:42:34, txID=6998, userSessionid=6547, teamid=84, userid=1361, adID=18, adCategory=fashion
2016-06-05T19:43:44, txID=6999, userSessionid=6401, teamid=177, userid=1449, adID=21, adCategory=movies
2016-06-05T19:56:22, txID=6997, userSessionid=6656, teamid=7, userid=71, adID=28, adCategory=sports
2016-06-05T19:56:31, txID=7000, userSessionid=6495, teamid=144, userid=118, adID=27, adCategory=games
2016-06-05T19:56:52, txID=7001, userSessionid=6598, teamid=48, userid=573, adID=0, adCategory=hardware
2016-06-05T19:59:17, txID=6996, userSessionid=6345, teamid=10, userid=1938, adID=5, adCategory=movies
2016-06-05T20:01:44, txID=7003, userSessionid=6516, teamid=94, userid=804, adID=20, adCategory=sports
2016-06-05T20:02:16, txID=7004, userSessionid=6398, teamid=131, userid=1594, adID=20, adCategory=sports
2016-06-05T20:03:51, txID=7023, userSessionid=6758, teamid=40, userid=1674, adID=24, adCategory=computers
2016-06-05T20:04:03, txID=7027, userSessionid=6382, teamid=92, userid=373, adID=21, adCategory=movies
2016-06-05T20:11:02, txID=7021, userSessionid=6653, teamid=161, userid=424, adID=3, adCategory=computers
2016-06-05T20:11:19, txID=7025, userSessionid=6672, teamid=150, userid=1109, adID=14, adCategory=fashion
2016-06-05T20:11:34, txID=7026, userSessionid=6494, teamid=163, userid=507, adID=19, adCategory=sports
2016-06-05T20:16:06, txID=7031, userSessionid=6597, teamid=163, userid=217, adID=20, adCategory=sports
2016-06-05T20:20:01, txID=7030, userSessionid=6648, teamid=129, userid=113, adID=27, adCategory=games
2016-06-05T20:20:31, txID=7029, userSessionid=6266, teamid=152, userid=460, adID=25, adCategory=sports
2016-06-05T20:21:26, txID=7022, userSessionid=6534, teamid=128, userid=178, adID=8, adCategory=clothing
2016-06-05T20:21:48, txID=7028, userSessionid=6305, teamid=161, userid=611, adID=22, adCategory=hardware
2016-06-05T20:26:22, txID=7024, userSessionid=6387, teamid=177, userid=776, adID=19, adCategory=sports
2016-06-05T20:34:40, txID=7059, userSessionid=6359, teamid=48, userid=319, adID=2, adCategory=sports
2016-06-05T20:37:49, txID=7049, userSessionid=6606, teamid=17, userid=914, adID=21, adCategory=movies
2016-06-05T20:40:58, txID=7058, userSessionid=6475, teamid=185, userid=1732, adID=21, adCategory=movies
2016-06-05T20:45:08, txID=7052, userSessionid=6625, teamid=118, userid=1785, adID=15, adCategory=fashion
2016-06-05T20:49:42, txID=7045, userSessionid=6287, teamid=4, userid=190, adID=10, adCategory=movies
2016-06-05T20:50:03, txID=7057, userSessionid=6696, teamid=48, userid=554, adID=14, adCategory=fashion
2016-06-05T20:50:52, txID=7042, userSessionid=6247, teamid=81, userid=820, adID=9, adCategory=movies
2016-06-05T20:51:04, txID=7044, userSessionid=6534, teamid=128, userid=178, adID=16, adCategory=clothing
2016-06-05T20:51:48, txID=7043, userSessionid=6539, teamid=122, userid=1204, adID=0, adCategory=hardware
2016-06-05T20:52:05, txID=7060, userSessionid=6614, teamid=129, userid=1211, adID=22, adCategory=hardware
2016-06-05T20:52:49, txID=7048, userSessionid=6294, teamid=179, userid=590, adID=22, adCategory=hardware
2016-06-05T20:53:17, txID=7047, userSessionid=6691, teamid=189, userid=314, adID=5, adCategory=movies
2016-06-05T20:54:25, txID=7051, userSessionid=6331, teamid=114, userid=1465, adID=19, adCategory=sports
2016-06-05T20:56:40, txID=7053, userSessionid=6650, teamid=176, userid=325, adID=6, adCategory=clothing
2016-06-05T20:58:28, txID=7050, userSessionid=6220, teamid=89, userid=1581, adID=9, adCategory=movies
2016-06-05T20:59:31, txID=7046, userSessionid=6215, teamid=35, userid=308, adID=28, adCategory=sports
2016-06-05T20:59:36, txID=7056, userSessionid=6789, teamid=109, userid=253, adID=16, adCategory=clothing
2016-06-05T21:02:14, txID=7054, userSessionid=6669, teamid=89, userid=1828, adID=27, adCategory=games
2016-06-05T21:02:53, txID=7055, userSessionid=6232, teamid=109, userid=1556, adID=16, adCategory=clothing
2016-06-05T21:03:22, txID=7076, userSessionid=6632, teamid=131, userid=1934, adID=3, adCategory=computers
2016-06-05T21:04:05, txID=7072, userSessionid=7020, teamid=114, userid=821, adID=29, adCategory=games
2016-06-05T21:04:57, txID=7079, userSessionid=6494, teamid=163, userid=507, adID=17, adCategory=movies
2016-06-05T21:06:37, txID=7077, userSessionid=6224, teamid=81, userid=973, adID=21, adCategory=movies
2016-06-05T21:10:13, txID=7082, userSessionid=6398, teamid=131, userid=1594, adID=11, adCategory=clothing
2016-06-05T21:11:24, txID=7080, userSessionid=6285, teamid=162, userid=276, adID=19, adCategory=sports
2016-06-05T21:18:08, txID=7081, userSessionid=6339, teamid=60, userid=1430, adID=28, adCategory=sports
2016-06-05T21:26:30, txID=7078, userSessionid=6526, teamid=3, userid=3, adID=28, adCategory=sports
2016-06-05T21:28:54, txID=7083, userSessionid=6514, teamid=176, userid=1120, adID=18, adCategory=fashion
2016-06-05T21:30:20, txID=7073, userSessionid=6588, teamid=119, userid=1798, adID=11, adCategory=clothing
2016-06-05T21:30:24, txID=7084, userSessionid=6382, teamid=92, userid=373, adID=25, adCategory=sports
2016-06-05T21:31:38, txID=7075, userSessionid=6444, teamid=162, userid=1967, adID=11, adCategory=clothing
2016-06-05T21:32:19, txID=7074, userSessionid=6691, teamid=189, userid=314, adID=12, adCategory=games
2016-06-05T21:32:40, txID=7085, userSessionid=6643, teamid=50, userid=1304, adID=3, adCategory=computers
2016-06-05T21:33:28, txID=7104, userSessionid=6350, teamid=181, userid=1968, adID=8, adCategory=clothing
2016-06-05T21:34:21, txID=7128, userSessionid=6257, teamid=56, userid=1325, adID=17, adCategory=movies
2016-06-05T21:35:33, txID=7103, userSessionid=6679, teamid=44, userid=892, adID=17, adCategory=movies
2016-06-05T21:37:57, txID=7120, userSessionid=6284, teamid=192, userid=1281, adID=14, adCategory=fashion
2016-06-05T21:38:01, txID=7110, userSessionid=6502, teamid=176, userid=1730, adID=12, adCategory=games
2016-06-05T21:38:01, txID=7122, userSessionid=6279, teamid=57, userid=1944, adID=14, adCategory=fashion
2016-06-05T21:38:05, txID=7113, userSessionid=6602, teamid=88, userid=988, adID=24, adCategory=computers
2016-06-05T21:38:38, txID=7127, userSessionid=6398, teamid=131, userid=1594, adID=10, adCategory=movies
2016-06-05T21:40:41, txID=7102, userSessionid=6389, teamid=139, userid=1349, adID=8, adCategory=clothing
2016-06-05T21:41:50, txID=7108, userSessionid=6665, teamid=176, userid=797, adID=5, adCategory=movies
2016-06-05T21:42:05, txID=7109, userSessionid=6731, teamid=152, userid=1106, adID=27, adCategory=games
2016-06-05T21:43:34, txID=7119, userSessionid=6607, teamid=161, userid=1440, adID=12, adCategory=games
2016-06-05T21:45:58, txID=7118, userSessionid=6245, teamid=114, userid=124, adID=10, adCategory=movies
2016-06-05T21:46:41, txID=7114, userSessionid=6444, teamid=162, userid=1967, adID=16, adCategory=clothing
2016-06-05T21:46:49, txID=7125, userSessionid=6490, teamid=48, userid=893, adID=13, adCategory=hardware
2016-06-05T21:47:41, txID=7105, userSessionid=6711, teamid=118, userid=1800, adID=26, adCategory=sports
2016-06-05T21:48:45, txID=7101, userSessionid=6401, teamid=177, userid=1449, adID=22, adCategory=hardware
2016-06-05T21:48:59, txID=7129, userSessionid=6486, teamid=173, userid=625, adID=13, adCategory=hardware
2016-06-05T21:49:14, txID=7126, userSessionid=6617, teamid=109, userid=1649, adID=21, adCategory=movies
2016-06-05T21:49:20, txID=7124, userSessionid=6332, teamid=44, userid=920, adID=17, adCategory=movies
2016-06-05T21:52:43, txID=7111, userSessionid=6657, teamid=56, userid=254, adID=28, adCategory=sports
2016-06-05T21:54:29, txID=7106, userSessionid=6257, teamid=56, userid=1325, adID=27, adCategory=games
2016-06-05T21:55:15, txID=7117, userSessionid=6444, teamid=162, userid=1967, adID=7, adCategory=hardware
2016-06-05T21:56:46, txID=7115, userSessionid=6618, teamid=28, userid=1534, adID=20, adCategory=sports
2016-06-05T21:58:02, txID=7112, userSessionid=6383, teamid=84, userid=221, adID=21, adCategory=movies
2016-06-05T21:58:29, txID=7116, userSessionid=6336, teamid=35, userid=83, adID=11, adCategory=clothing
2016-06-05T22:00:25, txID=7121, userSessionid=6726, teamid=84, userid=1666, adID=1, adCategory=electronics
2016-06-05T22:00:56, txID=7123, userSessionid=6335, teamid=192, userid=1861, adID=22, adCategory=hardware
2016-06-05T22:02:55, txID=7107, userSessionid=6619, teamid=114, userid=1574, adID=19, adCategory=sports
2016-06-05T22:04:53, txID=7147, userSessionid=6614, teamid=129, userid=1211, adID=1, adCategory=electronics
2016-06-05T22:05:41, txID=7140, userSessionid=6486, teamid=173, userid=625, adID=16, adCategory=clothing
2016-06-05T22:12:54, txID=7150, userSessionid=6674, teamid=182, userid=269, adID=4, adCategory=clothing
2016-06-05T22:14:52, txID=7148, userSessionid=6606, teamid=17, userid=914, adID=20, adCategory=sports
2016-06-05T22:14:53, txID=7141, userSessionid=6296, teamid=77, userid=431, adID=28, adCategory=sports
2016-06-05T22:20:16, txID=7151, userSessionid=6730, teamid=49, userid=885, adID=17, adCategory=movies
2016-06-05T22:20:22, txID=7146, userSessionid=6455, teamid=70, userid=299, adID=0, adCategory=hardware
2016-06-05T22:23:23, txID=7149, userSessionid=6729, teamid=109, userid=561, adID=19, adCategory=sports
2016-06-05T22:25:31, txID=7145, userSessionid=6538, teamid=55, userid=307, adID=25, adCategory=sports
2016-06-05T22:28:08, txID=7142, userSessionid=6571, teamid=129, userid=1003, adID=12, adCategory=games
2016-06-05T22:29:17, txID=7143, userSessionid=6694, teamid=27, userid=1350, adID=6, adCategory=clothing
2016-06-05T22:29:41, txID=7139, userSessionid=6739, teamid=84, userid=1640, adID=5, adCategory=movies
2016-06-05T22:30:20, txID=7144, userSessionid=6625, teamid=118, userid=1785, adID=22, adCategory=hardware
2016-06-05T22:40:31, txID=7163, userSessionid=6766, teamid=189, userid=259, adID=19, adCategory=sports
2016-06-05T22:48:29, txID=7162, userSessionid=6199, teamid=73, userid=1936, adID=18, adCategory=fashion
2016-06-05T22:54:14, txID=7161, userSessionid=6537, teamid=17, userid=169, adID=22, adCategory=hardware
2016-06-05T23:16:18, txID=7174, userSessionid=7138, teamid=10, userid=1782, adID=2, adCategory=sports
2016-06-05T23:27:03, txID=7172, userSessionid=6279, teamid=57, userid=1944, adID=25, adCategory=sports
2016-06-05T23:30:28, txID=7173, userSessionid=6650, teamid=176, userid=325, adID=16, adCategory=clothing
2016-06-05T23:34:18, txID=7197, userSessionid=6448, teamid=177, userid=991, adID=15, adCategory=fashion
2016-06-05T23:34:23, txID=7196, userSessionid=6792, teamid=28, userid=1595, adID=25, adCategory=sports
2016-06-05T23:38:14, txID=7183, userSessionid=7020, teamid=114, userid=821, adID=9, adCategory=movies
2016-06-05T23:43:37, txID=7185, userSessionid=6564, teamid=189, userid=1291, adID=5, adCategory=movies
2016-06-05T23:44:21, txID=7195, userSessionid=6415, teamid=118, userid=1960, adID=10, adCategory=movies
2016-06-05T23:45:01, txID=7198, userSessionid=6573, teamid=114, userid=678, adID=18, adCategory=fashion
2016-06-05T23:45:14, txID=7190, userSessionid=6240, teamid=96, userid=1656, adID=7, adCategory=hardware
2016-06-05T23:45:17, txID=7187, userSessionid=6609, teamid=70, userid=1358, adID=17, adCategory=movies
2016-06-05T23:45:44, txID=7193, userSessionid=6612, teamid=131, userid=1502, adID=27, adCategory=games
2016-06-05T23:47:15, txID=7184, userSessionid=6242, teamid=196, userid=1113, adID=27, adCategory=games
2016-06-05T23:47:33, txID=7188, userSessionid=6672, teamid=150, userid=1109, adID=27, adCategory=games
2016-06-05T23:48:46, txID=7189, userSessionid=6424, teamid=62, userid=833, adID=1, adCategory=electronics
2016-06-05T23:53:16, txID=7191, userSessionid=6247, teamid=81, userid=820, adID=18, adCategory=fashion
2016-06-05T23:58:39, txID=7186, userSessionid=6269, teamid=27, userid=139, adID=6, adCategory=clothing
2016-06-05T23:59:09, txID=7192, userSessionid=6303, teamid=164, userid=21, adID=24, adCategory=computers
2016-06-06T00:00:09, txID=7199, userSessionid=6694, teamid=27, userid=1350, adID=19, adCategory=sports
2016-06-06T00:01:08, txID=7194, userSessionid=6478, teamid=94, userid=31, adID=10, adCategory=movies
2016-06-06T00:06:31, txID=7215, userSessionid=6793, teamid=189, userid=901, adID=1, adCategory=electronics
2016-06-06T00:13:03, txID=7218, userSessionid=6461, teamid=45, userid=575, adID=25, adCategory=sports
2016-06-06T00:13:51, txID=7217, userSessionid=6250, teamid=34, userid=1090, adID=12, adCategory=games
2016-06-06T00:16:39, txID=7211, userSessionid=6656, teamid=7, userid=71, adID=4, adCategory=clothing
2016-06-06T00:16:52, txID=7219, userSessionid=6213, teamid=183, userid=1007, adID=3, adCategory=computers
2016-06-06T00:18:17, txID=7213, userSessionid=6401, teamid=177, userid=1449, adID=11, adCategory=clothing
2016-06-06T00:18:23, txID=7220, userSessionid=6760, teamid=192, userid=1249, adID=28, adCategory=sports
2016-06-06T00:24:16, txID=7222, userSessionid=6673, teamid=63, userid=957, adID=16, adCategory=clothing
2016-06-06T00:24:55, txID=7221, userSessionid=6619, teamid=114, userid=1574, adID=23, adCategory=sports
2016-06-06T00:27:20, txID=7210, userSessionid=6490, teamid=48, userid=893, adID=8, adCategory=clothing
2016-06-06T00:28:26, txID=7212, userSessionid=6633, teamid=161, userid=1332, adID=24, adCategory=computers
2016-06-06T00:28:42, txID=7223, userSessionid=6621, teamid=109, userid=1024, adID=19, adCategory=sports
2016-06-06T00:31:14, txID=7214, userSessionid=6455, teamid=70, userid=299, adID=24, adCategory=computers
2016-06-06T00:32:25, txID=7216, userSessionid=6415, teamid=118, userid=1960, adID=17, adCategory=movies
2016-06-06T00:32:54, txID=7224, userSessionid=6747, teamid=42, userid=669, adID=4, adCategory=clothing
2016-06-06T00:34:45, txID=7249, userSessionid=6766, teamid=189, userid=259, adID=22, adCategory=hardware
2016-06-06T00:38:06, txID=7248, userSessionid=6531, teamid=185, userid=246, adID=24, adCategory=computers
2016-06-06T00:41:11, txID=7240, userSessionid=6732, teamid=114, userid=1064, adID=23, adCategory=sports
2016-06-06T00:42:00, txID=7245, userSessionid=6470, teamid=174, userid=1568, adID=26, adCategory=sports
2016-06-06T00:44:39, txID=7242, userSessionid=6722, teamid=179, userid=1283, adID=3, adCategory=computers
2016-06-06T00:44:59, txID=7244, userSessionid=6484, teamid=196, userid=19, adID=10, adCategory=movies
2016-06-06T00:47:39, txID=7243, userSessionid=6287, teamid=4, userid=190, adID=29, adCategory=games
2016-06-06T00:50:25, txID=7246, userSessionid=6294, teamid=179, userid=590, adID=10, adCategory=movies
2016-06-06T00:52:15, txID=7241, userSessionid=6350, teamid=181, userid=1968, adID=1, adCategory=electronics
2016-06-06T00:54:10, txID=7239, userSessionid=6398, teamid=131, userid=1594, adID=14, adCategory=fashion
2016-06-06T00:55:58, txID=7238, userSessionid=6564, teamid=189, userid=1291, adID=6, adCategory=clothing
2016-06-06T01:02:17, txID=7247, userSessionid=6699, teamid=163, userid=1676, adID=15, adCategory=fashion
2016-06-06T01:15:07, txID=7257, userSessionid=6588, teamid=119, userid=1798, adID=19, adCategory=sports
2016-06-06T01:33:12, txID=7272, userSessionid=6538, teamid=55, userid=307, adID=21, adCategory=movies
2016-06-06T01:33:35, txID=7277, userSessionid=6531, teamid=185, userid=246, adID=1, adCategory=electronics
2016-06-06T01:34:04, txID=7271, userSessionid=6613, teamid=89, userid=666, adID=4, adCategory=clothing
2016-06-06T01:36:07, txID=7276, userSessionid=6358, teamid=17, userid=404, adID=20, adCategory=sports
2016-06-06T01:36:25, txID=7280, userSessionid=6774, teamid=154, userid=618, adID=4, adCategory=clothing
2016-06-06T01:38:54, txID=7270, userSessionid=6625, teamid=118, userid=1785, adID=6, adCategory=clothing
2016-06-06T01:41:23, txID=7273, userSessionid=6213, teamid=183, userid=1007, adID=21, adCategory=movies
2016-06-06T01:49:22, txID=7268, userSessionid=6262, teamid=10, userid=1482, adID=9, adCategory=movies
2016-06-06T01:49:28, txID=7278, userSessionid=6548, teamid=28, userid=1385, adID=10, adCategory=movies
2016-06-06T01:50:53, txID=7275, userSessionid=6766, teamid=189, userid=259, adID=10, adCategory=movies
2016-06-06T01:52:20, txID=7274, userSessionid=6575, teamid=114, userid=1597, adID=6, adCategory=clothing
2016-06-06T01:52:49, txID=7267, userSessionid=6620, teamid=57, userid=1611, adID=27, adCategory=games
2016-06-06T01:58:50, txID=7269, userSessionid=6448, teamid=177, userid=991, adID=24, adCategory=computers
2016-06-06T02:02:49, txID=7279, userSessionid=6272, teamid=118, userid=1704, adID=5, adCategory=movies
2016-06-06T02:03:07, txID=7316, userSessionid=6478, teamid=94, userid=31, adID=25, adCategory=sports
2016-06-06T02:03:37, txID=7302, userSessionid=6619, teamid=114, userid=1574, adID=20, adCategory=sports
2016-06-06T02:04:12, txID=7301, userSessionid=6362, teamid=10, userid=1899, adID=23, adCategory=sports
2016-06-06T02:04:47, txID=7314, userSessionid=6495, teamid=144, userid=118, adID=21, adCategory=movies
2016-06-06T02:05:17, txID=7296, userSessionid=6329, teamid=77, userid=9, adID=3, adCategory=computers
2016-06-06T02:09:00, txID=7309, userSessionid=6531, teamid=185, userid=246, adID=19, adCategory=sports
2016-06-06T02:09:32, txID=7317, userSessionid=6669, teamid=89, userid=1828, adID=6, adCategory=clothing
2016-06-06T02:09:58, txID=7304, userSessionid=6631, teamid=99, userid=1312, adID=23, adCategory=sports
2016-06-06T02:10:13, txID=7310, userSessionid=6218, teamid=46, userid=727, adID=21, adCategory=movies
2016-06-06T02:11:17, txID=7305, userSessionid=6696, teamid=48, userid=554, adID=22, adCategory=hardware
2016-06-06T02:14:31, txID=7291, userSessionid=6771, teamid=57, userid=22, adID=23, adCategory=sports
2016-06-06T02:15:14, txID=7293, userSessionid=6704, teamid=6, userid=355, adID=3, adCategory=computers
