teamid=172, name=iaqAzXFUe, teamCreationTime=2016-05-29T04:38:19, teamEndTime=9999-12-31T23:59:59, strength=0.283660390845, currentLevel=1
teamid=124, name=QeGfdc, teamCreationTime=2016-06-01T09:13:17, teamEndTime=9999-12-31T23:59:59, strength=0.772425353694, currentLevel=1
teamid=173, name=UzMmfu7gt, teamCreationTime=2016-06-01T09:25:24, teamEndTime=9999-12-31T23:59:59, strength=0.568047756385, currentLevel=1
teamid=23, name=owClOIm6E, teamCreationTime=2016-06-01T09:35:27, teamEndTime=9999-12-31T23:59:59, strength=0.458209930405, currentLevel=1
teamid=135, name=R1V95n0, teamCreationTime=2016-06-01T09:58:04, teamEndTime=9999-12-31T23:59:59, strength=0.543054367681, currentLevel=1
teamid=4, name=UIjjyqXtt8T, teamCreationTime=2016-06-01T10:01:32, teamEndTime=9999-12-31T23:59:59, strength=0.799168007734, currentLevel=1
teamid=154, name=mvZsDx5q, teamCreationTime=2016-06-01T10:22:37, teamEndTime=9999-12-31T23:59:59, strength=0.462440725412, currentLevel=1
teamid=76, name=ipF7T1Eb3im, teamCreationTime=2016-06-01T10:44:02, teamEndTime=9999-12-31T23:59:59, strength=0.166403925977, currentLevel=1
teamid=110, name=Nn7BZvH5h4h, teamCreationTime=2016-06-01T10:49:49, teamEndTime=9999-12-31T23:59:59, strength=0.797141045513, currentLevel=1
teamid=37, name=cA62Kqo, teamCreationTime=2016-06-01T11:00:51, teamEndTime=9999-12-31T23:59:59, strength=0.464108348593, currentLevel=1
teamid=141, name=5qgyY1OZ, teamCreationTime=2016-06-01T11:37:53, teamEndTime=9999-12-31T23:59:59, strength=0.690064574829, currentLevel=1
teamid=25, name=hJewxnQ, teamCreationTime=2016-06-01T11:41:11, teamEndTime=9999-12-31T23:59:59, strength=0.743326121223, currentLevel=1
teamid=117, name=UOzfWC7kc8Y, teamCreationTime=2016-06-01T12:20:59, teamEndTime=9999-12-31T23:59:59, strength=0.789923442633, currentLevel=1
teamid=100, name=uPMzPk8HB, teamCreationTime=2016-06-01T12:32:49, teamEndTime=9999-12-31T23:59:59, strength=0.394601939422, currentLevel=1
teamid=98, name=vDv5HdLl, teamCreationTime=2016-06-01T13:26:28, teamEndTime=9999-12-31T23:59:59, strength=0.755641500106, currentLevel=1
teamid=184, name=E82QiMQOP, teamCreationTime=2016-06-01T13:48:07, teamEndTime=9999-12-31T23:59:59, strength=0.512494533842, currentLevel=1
teamid=70, name=MA2ZUANjXW, teamCreationTime=2016-06-01T14:07:47, teamEndTime=9999-12-31T23:59:59, strength=0.125655776847, currentLevel=1
teamid=160, name=ZPE4w2Q, teamCreationTime=2016-06-01T14:10:46, teamEndTime=9999-12-31T23:59:59, strength=0.703119420479, currentLevel=1
teamid=185, name=saQ5HEma9Q, teamCreationTime=2016-06-01T14:35:51, teamEndTime=9999-12-31T23:59:59, strength=0.653266482927, currentLevel=1
teamid=187, name=wQ09sm3, teamCreationTime=2016-06-01T15:14:37, teamEndTime=9999-12-31T23:59:59, strength=0.432849186899, currentLevel=1
teamid=1, name=bey8klTTMY, teamCreationTime=2016-06-01T15:20:24, teamEndTime=9999-12-31T23:59:59, strength=0.0362087077514, currentLevel=1
teamid=146, name=fzQ0a6SvmII, teamCreationTime=2016-06-01T15:32:28, teamEndTime=9999-12-31T23:59:59, strength=0.528459662796, currentLevel=1
teamid=91, name=EYAm6uS2, teamCreationTime=2016-06-01T15:56:51, teamEndTime=9999-12-31T23:59:59, strength=0.879843214782, currentLevel=1
teamid=167, name=ymq5Uz8, teamCreationTime=2016-06-01T16:54:52, teamEndTime=9999-12-31T23:59:59, strength=0.424976910437, currentLevel=1
teamid=191, name=BABw7FlbK6h, teamCreationTime=2016-06-01T17:13:50, teamEndTime=9999-12-31T23:59:59, strength=0.260716555392, currentLevel=1
teamid=162, name=W5LECa, teamCreationTime=2016-06-01T17:21:57, teamEndTime=9999-12-31T23:59:59, strength=0.654799354975, currentLevel=1
teamid=121, name=D3O1iWppWg7, teamCreationTime=2016-06-01T17:26:51, teamEndTime=9999-12-31T23:59:59, strength=0.471598210067, currentLevel=1
teamid=9, name=V4zsHzEOj, teamCreationTime=2016-06-01T17:36:36, teamEndTime=9999-12-31T23:59:59, strength=0.864489334817, currentLevel=1
teamid=171, name=ZV67Xy, teamCreationTime=2016-06-01T17:54:59, teamEndTime=9999-12-31T23:59:59, strength=0.731134660139, currentLevel=1
teamid=67, name=zs8nf6o3H, teamCreationTime=2016-06-01T18:02:18, teamEndTime=9999-12-31T23:59:59, strength=0.753883001241, currentLevel=1
teamid=51, name=cLezFx4, teamCreationTime=2016-06-01T18:07:18, teamEndTime=9999-12-31T23:59:59, strength=0.935226333965, currentLevel=1
teamid=116, name=vbJvpK, teamCreationTime=2016-06-01T18:41:49, teamEndTime=9999-12-31T23:59:59, strength=0.00121368492303, currentLevel=1
teamid=112, name=6pibaOYxdsY, teamCreationTime=2016-06-01T18:42:16, teamEndTime=9999-12-31T23:59:59, strength=0.59765135761, currentLevel=1
teamid=145, name=zZyBbDe, teamCreationTime=2016-06-01T18:49:44, teamEndTime=9999-12-31T23:59:59, strength=0.131246802143, currentLevel=1
teamid=132, name=HOtIsIu7SA9, teamCreationTime=2016-06-01T19:03:00, teamEndTime=9999-12-31T23:59:59, strength=0.6023184657, currentLevel=1
teamid=30, name=UOiSbWL25, teamCreationTime=2016-06-01T19:23:50, teamEndTime=9999-12-31T23:59:59, strength=0.43357421243, currentLevel=1
teamid=97, name=focZVIs, teamCreationTime=2016-06-01T19:30:51, teamEndTime=9999-12-31T23:59:59, strength=0.241885146144, currentLevel=1
teamid=7, name=gnUKEih, teamCreationTime=2016-06-01T19:46:27, teamEndTime=9999-12-31T23:59:59, strength=0.0129691457138, currentLevel=1
teamid=55, name=lUfS2mBzv, teamCreationTime=2016-06-01T20:31:22, teamEndTime=9999-12-31T23:59:59, strength=0.586746167492, currentLevel=1
teamid=33, name=7qhmBfhct, teamCreationTime=2016-06-01T20:45:41, teamEndTime=9999-12-31T23:59:59, strength=0.286219396083, currentLevel=1
teamid=140, name=O70s8IWM1r, teamCreationTime=2016-06-01T20:57:27, teamEndTime=9999-12-31T23:59:59, strength=0.469742066848, currentLevel=1
teamid=73, name=NLa6LwnPvOJ, teamCreationTime=2016-06-01T21:01:58, teamEndTime=9999-12-31T23:59:59, strength=0.801224414968, currentLevel=1
teamid=118, name=Vb8Xii, teamCreationTime=2016-06-01T21:15:17, teamEndTime=9999-12-31T23:59:59, strength=0.00837827035002, currentLevel=1
teamid=186, name=jZtSca, teamCreationTime=2016-06-01T21:47:31, teamEndTime=9999-12-31T23:59:59, strength=0.562172488008, currentLevel=1
teamid=94, name=MqfjDq, teamCreationTime=2016-06-01T23:17:05, teamEndTime=9999-12-31T23:59:59, strength=0.693521471587, currentLevel=1
teamid=165, name=Xq5T002, teamCreationTime=2016-06-01T23:30:12, teamEndTime=9999-12-31T23:59:59, strength=0.41342361042, currentLevel=1
teamid=81, name=jRS1kZe, teamCreationTime=2016-06-01T23:36:35, teamEndTime=9999-12-31T23:59:59, strength=0.468854471614, currentLevel=1
teamid=15, name=Xo0jypcV, teamCreationTime=2016-06-02T00:25:01, teamEndTime=9999-12-31T23:59:59, strength=0.510995514516, currentLevel=1
teamid=8, name=f0VDeUHdU, teamCreationTime=2016-06-02T00:36:50, teamEndTime=9999-12-31T23:59:59, strength=0.912780956853, currentLevel=1
teamid=61, name=MYi22dUwwxZ, teamCreationTime=2016-06-02T01:56:47, teamEndTime=9999-12-31T23:59:59, strength=0.927808782624, currentLevel=1
teamid=29, name=z8TF6DN7, teamCreationTime=2016-06-02T03:13:13, teamEndTime=9999-12-31T23:59:59, strength=0.46769168627, currentLevel=1
teamid=105, name=vLmCaxEaNK, teamCreationTime=2016-06-02T04:26:34, teamEndTime=9999-12-31T23:59:59, strength=0.283879744414, currentLevel=1
teamid=138, name=GemOrWY, teamCreationTime=2016-06-02T05:35:35, teamEndTime=9999-12-31T23:59:59, strength=0.168020747139, currentLevel=1
