userSessionid=6780, userid=1909, teamid=154, assignmentid=5514, startTimeStamp=2016-06-01T18:01:50, endTimeStamp=2016-06-06T12:33:05, team_level=1, platformType=iphone
userSessionid=6432, userid=860, teamid=10, assignmentid=5551, startTimeStamp=2016-06-04T03:08:20, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6501, userid=540, teamid=10, assignmentid=5552, startTimeStamp=2016-06-04T04:52:24, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6751, userid=1412, teamid=10, assignmentid=5540, startTimeStamp=2016-06-04T14:55:39, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6769, userid=772, teamid=10, assignmentid=5539, startTimeStamp=2016-06-03T00:20:55, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=7138, userid=1782, teamid=10, assignmentid=5548, startTimeStamp=2016-06-05T22:03:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=7450, userid=312, teamid=10, assignmentid=5542, startTimeStamp=2016-06-06T05:03:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6358, userid=404, teamid=17, assignmentid=6122, startTimeStamp=2016-06-01T05:49:52, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6436, userid=1152, teamid=17, assignmentid=5169, startTimeStamp=2016-06-03T02:50:35, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6537, userid=169, teamid=17, assignmentid=6117, startTimeStamp=2016-06-02T20:27:56, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6587, userid=1540, teamid=17, assignmentid=6121, startTimeStamp=2016-05-31T14:31:26, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6606, userid=914, teamid=17, assignmentid=6116, startTimeStamp=2016-05-31T19:02:03, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6627, userid=578, teamid=17, assignmentid=6112, startTimeStamp=2016-06-02T05:25:26, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6644, userid=1659, teamid=17, assignmentid=6120, startTimeStamp=2016-06-03T21:46:36, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6785, userid=950, teamid=17, assignmentid=6111, startTimeStamp=2016-06-02T06:23:45, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=7099, userid=633, teamid=17, assignmentid=5168, startTimeStamp=2016-06-05T21:33:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=linux
userSessionid=7451, userid=1663, teamid=17, assignmentid=5167, startTimeStamp=2016-06-06T05:03:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=8344, userid=1036, teamid=17, assignmentid=6109, startTimeStamp=2016-06-06T21:33:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6688, userid=343, teamid=20, assignmentid=5095, startTimeStamp=2016-06-03T21:37:02, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6269, userid=139, teamid=27, assignmentid=5223, startTimeStamp=2016-06-02T12:56:19, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6580, userid=766, teamid=27, assignmentid=5220, startTimeStamp=2016-06-01T15:44:03, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6694, userid=1350, teamid=27, assignmentid=5222, startTimeStamp=2016-06-01T01:17:50, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=8150, userid=52, teamid=27, assignmentid=7666, startTimeStamp=2016-06-06T18:03:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6223, userid=440, teamid=28, assignmentid=5669, startTimeStamp=2016-06-01T20:42:39, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6236, userid=1079, teamid=28, assignmentid=5655, startTimeStamp=2016-06-03T04:53:13, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6548, userid=1385, teamid=28, assignmentid=5656, startTimeStamp=2016-06-03T18:53:41, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6581, userid=639, teamid=28, assignmentid=5658, startTimeStamp=2016-06-02T06:14:36, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6618, userid=1534, teamid=28, assignmentid=5659, startTimeStamp=2016-06-04T11:04:56, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6706, userid=1612, teamid=28, assignmentid=5672, startTimeStamp=2016-06-02T05:44:08, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6792, userid=1595, teamid=28, assignmentid=5665, startTimeStamp=2016-05-31T07:00:58, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=8306, userid=1643, teamid=28, assignmentid=5668, startTimeStamp=2016-06-06T21:03:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6228, userid=1210, teamid=29, assignmentid=5118, startTimeStamp=2016-06-03T01:57:13, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6261, userid=1359, teamid=29, assignmentid=5128, startTimeStamp=2016-06-01T13:13:14, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=mac
userSessionid=6315, userid=1904, teamid=29, assignmentid=5123, startTimeStamp=2016-06-01T14:12:07, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6360, userid=485, teamid=29, assignmentid=5124, startTimeStamp=2016-06-03T08:55:02, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6481, userid=1474, teamid=29, assignmentid=5120, startTimeStamp=2016-06-02T13:40:30, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=linux
userSessionid=6624, userid=176, teamid=29, assignmentid=5121, startTimeStamp=2016-06-01T12:15:32, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=7710, userid=1702, teamid=29, assignmentid=5122, startTimeStamp=2016-06-06T10:33:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6207, userid=732, teamid=31, assignmentid=5868, startTimeStamp=2016-06-02T12:46:21, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6346, userid=1871, teamid=31, assignmentid=5863, startTimeStamp=2016-06-01T03:22:31, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=7019, userid=1242, teamid=31, assignmentid=5865, startTimeStamp=2016-06-05T20:03:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6250, userid=1090, teamid=34, assignmentid=5344, startTimeStamp=2016-06-01T05:32:53, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6334, userid=529, teamid=34, assignmentid=6165, startTimeStamp=2016-06-01T09:33:16, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6342, userid=1748, teamid=34, assignmentid=5347, startTimeStamp=2016-06-02T17:25:39, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=linux
userSessionid=6353, userid=1032, teamid=34, assignmentid=6163, startTimeStamp=2016-06-01T15:58:44, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6385, userid=381, teamid=34, assignmentid=5349, startTimeStamp=2016-06-02T03:38:55, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6425, userid=690, teamid=34, assignmentid=6162, startTimeStamp=2016-06-03T17:35:35, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=linux
userSessionid=6430, userid=1569, teamid=34, assignmentid=6166, startTimeStamp=2016-06-02T19:50:24, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6439, userid=610, teamid=34, assignmentid=5348, startTimeStamp=2016-06-01T01:54:58, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6487, userid=1551, teamid=34, assignmentid=5337, startTimeStamp=2016-06-04T06:14:43, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6524, userid=1884, teamid=34, assignmentid=5350, startTimeStamp=2016-06-01T04:32:12, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6532, userid=161, teamid=34, assignmentid=6167, startTimeStamp=2016-06-01T22:12:12, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6683, userid=1365, teamid=34, assignmentid=6164, startTimeStamp=2016-06-04T07:03:56, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6721, userid=754, teamid=34, assignmentid=5351, startTimeStamp=2016-06-01T02:08:32, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6784, userid=1041, teamid=34, assignmentid=6161, startTimeStamp=2016-06-01T05:30:52, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6215, userid=308, teamid=35, assignmentid=5314, startTimeStamp=2016-06-01T12:04:28, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6253, userid=686, teamid=35, assignmentid=5305, startTimeStamp=2016-06-01T20:51:50, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6319, userid=1223, teamid=35, assignmentid=5306, startTimeStamp=2016-06-01T22:49:56, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6336, userid=83, teamid=35, assignmentid=5308, startTimeStamp=2016-05-31T19:44:19, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6410, userid=211, teamid=35, assignmentid=5304, startTimeStamp=2016-06-01T19:38:28, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6450, userid=11, teamid=35, assignmentid=5303, startTimeStamp=2016-05-31T08:20:39, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6469, userid=613, teamid=35, assignmentid=5307, startTimeStamp=2016-06-02T04:32:56, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6755, userid=871, teamid=35, assignmentid=5309, startTimeStamp=2016-05-31T08:45:31, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6790, userid=1366, teamid=35, assignmentid=5310, startTimeStamp=2016-05-31T10:51:15, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6377, userid=226, teamid=40, assignmentid=5652, startTimeStamp=2016-06-01T23:00:25, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6420, userid=93, teamid=40, assignmentid=5649, startTimeStamp=2016-06-02T04:11:28, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6459, userid=995, teamid=40, assignmentid=5654, startTimeStamp=2016-06-01T05:09:14, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=linux
userSessionid=6668, userid=558, teamid=40, assignmentid=5641, startTimeStamp=2016-06-01T07:59:39, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6728, userid=1282, teamid=40, assignmentid=5640, startTimeStamp=2016-06-02T01:03:54, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6758, userid=1674, teamid=40, assignmentid=5650, startTimeStamp=2016-06-01T18:38:15, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=7900, userid=1083, teamid=40, assignmentid=5653, startTimeStamp=2016-06-06T14:33:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6327, userid=1311, teamid=42, assignmentid=5753, startTimeStamp=2016-06-02T09:33:32, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6466, userid=1477, teamid=42, assignmentid=5755, startTimeStamp=2016-06-03T04:34:13, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6496, userid=878, teamid=42, assignmentid=5754, startTimeStamp=2016-06-02T09:05:24, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6655, userid=1080, teamid=42, assignmentid=5765, startTimeStamp=2016-06-03T03:51:08, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=linux
userSessionid=6659, userid=444, teamid=42, assignmentid=5759, startTimeStamp=2016-06-01T16:42:13, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=mac
userSessionid=6692, userid=108, teamid=42, assignmentid=5763, startTimeStamp=2016-06-02T06:13:23, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6714, userid=1391, teamid=42, assignmentid=5760, startTimeStamp=2016-06-02T18:21:41, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6747, userid=669, teamid=42, assignmentid=5766, startTimeStamp=2016-06-03T10:52:42, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6241, userid=842, teamid=44, assignmentid=6011, startTimeStamp=2016-06-01T05:54:46, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6332, userid=920, teamid=44, assignmentid=6014, startTimeStamp=2016-06-04T11:55:23, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6679, userid=892, teamid=44, assignmentid=6018, startTimeStamp=2016-06-01T20:45:30, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6710, userid=1558, teamid=44, assignmentid=6013, startTimeStamp=2016-06-04T09:02:47, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6742, userid=1557, teamid=44, assignmentid=6010, startTimeStamp=2016-06-03T10:37:14, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6206, userid=1804, teamid=45, assignmentid=6024, startTimeStamp=2016-06-01T11:16:10, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=mac
userSessionid=6461, userid=575, teamid=45, assignmentid=6021, startTimeStamp=2016-06-04T03:07:37, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6604, userid=591, teamid=45, assignmentid=6023, startTimeStamp=2016-06-02T13:51:08, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=7070, userid=983, teamid=45, assignmentid=6978, startTimeStamp=2016-06-05T21:03:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6218, userid=727, teamid=46, assignmentid=5622, startTimeStamp=2016-06-04T00:21:36, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6416, userid=1807, teamid=46, assignmentid=5624, startTimeStamp=2016-06-03T01:15:52, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6629, userid=1203, teamid=46, assignmentid=5626, startTimeStamp=2016-06-03T12:52:56, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6703, userid=1882, teamid=46, assignmentid=5623, startTimeStamp=2016-05-31T06:01:38, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6271, userid=168, teamid=48, assignmentid=5357, startTimeStamp=2016-06-03T10:45:31, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=linux
userSessionid=6359, userid=319, teamid=48, assignmentid=5354, startTimeStamp=2016-06-01T06:46:15, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6490, userid=893, teamid=48, assignmentid=5356, startTimeStamp=2016-06-03T14:56:15, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6513, userid=1733, teamid=48, assignmentid=5409, startTimeStamp=2016-06-03T07:07:15, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6544, userid=1978, teamid=48, assignmentid=5358, startTimeStamp=2016-06-02T00:51:54, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6598, userid=573, teamid=48, assignmentid=5355, startTimeStamp=2016-06-02T22:36:48, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6696, userid=554, teamid=48, assignmentid=5352, startTimeStamp=2016-05-31T12:59:14, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6759, userid=1826, teamid=48, assignmentid=5407, startTimeStamp=2016-06-03T14:37:48, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6763, userid=368, teamid=48, assignmentid=5360, startTimeStamp=2016-05-31T16:44:38, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6227, userid=753, teamid=49, assignmentid=5708, startTimeStamp=2016-05-31T04:25:45, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6314, userid=471, teamid=49, assignmentid=5706, startTimeStamp=2016-06-01T02:57:58, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6456, userid=436, teamid=49, assignmentid=5704, startTimeStamp=2016-06-02T22:36:19, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6605, userid=1888, teamid=49, assignmentid=5712, startTimeStamp=2016-05-31T23:42:42, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6651, userid=16, teamid=49, assignmentid=5710, startTimeStamp=2016-06-03T23:52:41, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6698, userid=175, teamid=49, assignmentid=5714, startTimeStamp=2016-06-04T14:16:56, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=linux
userSessionid=6730, userid=885, teamid=49, assignmentid=5705, startTimeStamp=2016-06-02T23:22:37, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=8015, userid=940, teamid=49, assignmentid=5707, startTimeStamp=2016-06-06T16:33:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
userSessionid=6205, userid=1749, teamid=50, assignmentid=5271, startTimeStamp=2016-06-03T00:52:07, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6222, userid=897, teamid=50, assignmentid=5255, startTimeStamp=2016-06-02T03:16:06, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=mac
userSessionid=6276, userid=1857, teamid=50, assignmentid=5265, startTimeStamp=2016-06-01T08:42:30, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6330, userid=92, teamid=50, assignmentid=5267, startTimeStamp=2016-06-03T09:09:20, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=iphone
userSessionid=6395, userid=143, teamid=50, assignmentid=5268, startTimeStamp=2016-06-03T07:01:05, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6428, userid=843, teamid=50, assignmentid=5270, startTimeStamp=2016-06-01T12:17:04, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=android
userSessionid=6440, userid=1418, teamid=50, assignmentid=5257, startTimeStamp=2016-06-01T07:42:56, endTimeStamp=2016-06-06T23:33:05, team_level=1, platformType=windows
